Frame: 12, Tracker ID: 1, Speed: 76 km/h
Frame: 12, Tracker ID: 2, Speed: 124 km/h
Frame: 12, Tracker ID: 4, Speed: 152 km/h
Frame: 12, Tracker ID: 3, Speed: 124 km/h
Frame: 13, Tracker ID: 1, Speed: 77 km/h
Frame: 13, Tracker ID: 2, Speed: 122 km/h
Frame: 13, Tracker ID: 3, Speed: 122 km/h
Frame: 13, Tracker ID: 4, Speed: 154 km/h
Frame: 14, Tracker ID: 1, Speed: 78 km/h
Frame: 14, Tracker ID: 2, Speed: 126 km/h
Frame: 14, Tracker ID: 4, Speed: 156 km/h
Frame: 14, Tracker ID: 3, Speed: 126 km/h
Frame: 15, Tracker ID: 1, Speed: 78 km/h
Frame: 15, Tracker ID: 2, Speed: 123 km/h
Frame: 15, Tracker ID: 4, Speed: 157 km/h
Frame: 15, Tracker ID: 3, Speed: 123 km/h
Frame: 16, Tracker ID: 1, Speed: 79 km/h
Frame: 16, Tracker ID: 2, Speed: 127 km/h
Frame: 16, Tracker ID: 4, Speed: 153 km/h
Frame: 16, Tracker ID: 3, Speed: 127 km/h
Frame: 17, Tracker ID: 1, Speed: 80 km/h
Frame: 17, Tracker ID: 2, Speed: 125 km/h
Frame: 17, Tracker ID: 4, Speed: 155 km/h
Frame: 17, Tracker ID: 3, Speed: 125 km/h
Frame: 18, Tracker ID: 1, Speed: 80 km/h
Frame: 18, Tracker ID: 2, Speed: 127 km/h
Frame: 18, Tracker ID: 3, Speed: 127 km/h
Frame: 18, Tracker ID: 4, Speed: 156 km/h
Frame: 19, Tracker ID: 1, Speed: 81 km/h
Frame: 19, Tracker ID: 3, Speed: 126 km/h
Frame: 19, Tracker ID: 2, Speed: 126 km/h
Frame: 19, Tracker ID: 4, Speed: 153 km/h
Frame: 20, Tracker ID: 1, Speed: 81 km/h
Frame: 20, Tracker ID: 2, Speed: 124 km/h
Frame: 20, Tracker ID: 3, Speed: 128 km/h
Frame: 20, Tracker ID: 4, Speed: 154 km/h
Frame: 21, Tracker ID: 1, Speed: 81 km/h
Frame: 21, Tracker ID: 2, Speed: 126 km/h
Frame: 21, Tracker ID: 4, Speed: 155 km/h
Frame: 21, Tracker ID: 3, Speed: 126 km/h
Frame: 22, Tracker ID: 1, Speed: 82 km/h
Frame: 22, Tracker ID: 3, Speed: 129 km/h
Frame: 22, Tracker ID: 2, Speed: 125 km/h
Frame: 22, Tracker ID: 4, Speed: 152 km/h
Frame: 23, Tracker ID: 1, Speed: 82 km/h
Frame: 23, Tracker ID: 2, Speed: 127 km/h
Frame: 23, Tracker ID: 3, Speed: 127 km/h
Frame: 23, Tracker ID: 4, Speed: 153 km/h
Frame: 24, Tracker ID: 1, Speed: 79 km/h
Frame: 24, Tracker ID: 2, Speed: 126 km/h
Frame: 24, Tracker ID: 3, Speed: 126 km/h
Frame: 24, Tracker ID: 4, Speed: 151 km/h
Frame: 25, Tracker ID: 1, Speed: 82 km/h
Frame: 25, Tracker ID: 2, Speed: 122 km/h
Frame: 25, Tracker ID: 3, Speed: 126 km/h
Frame: 25, Tracker ID: 4, Speed: 147 km/h
Frame: 26, Tracker ID: 2, Speed: 126 km/h
Frame: 26, Tracker ID: 1, Speed: 82 km/h
Frame: 26, Tracker ID: 3, Speed: 129 km/h
Frame: 26, Tracker ID: 4, Speed: 151 km/h
Frame: 27, Tracker ID: 1, Speed: 79 km/h
Frame: 27, Tracker ID: 2, Speed: 122 km/h
Frame: 27, Tracker ID: 4, Speed: 144 km/h
Frame: 27, Tracker ID: 3, Speed: 126 km/h
Frame: 28, Tracker ID: 1, Speed: 79 km/h
Frame: 28, Tracker ID: 2, Speed: 126 km/h
Frame: 28, Tracker ID: 4, Speed: 147 km/h
Frame: 28, Tracker ID: 3, Speed: 129 km/h
Frame: 29, Tracker ID: 1, Speed: 79 km/h
Frame: 29, Tracker ID: 3, Speed: 126 km/h
Frame: 29, Tracker ID: 2, Speed: 122 km/h
Frame: 29, Tracker ID: 4, Speed: 144 km/h
Frame: 30, Tracker ID: 1, Speed: 79 km/h
Frame: 30, Tracker ID: 3, Speed: 129 km/h
Frame: 30, Tracker ID: 4, Speed: 140 km/h
Frame: 30, Tracker ID: 2, Speed: 126 km/h
Frame: 31, Tracker ID: 1, Speed: 79 km/h
Frame: 31, Tracker ID: 4, Speed: 140 km/h
Frame: 31, Tracker ID: 3, Speed: 126 km/h
Frame: 31, Tracker ID: 2, Speed: 126 km/h
Frame: 32, Tracker ID: 1, Speed: 82 km/h
Frame: 32, Tracker ID: 2, Speed: 126 km/h
Frame: 32, Tracker ID: 4, Speed: 136 km/h
Frame: 32, Tracker ID: 3, Speed: 126 km/h
Frame: 33, Tracker ID: 1, Speed: 82 km/h
Frame: 33, Tracker ID: 4, Speed: 133 km/h
Frame: 33, Tracker ID: 3, Speed: 126 km/h
Frame: 33, Tracker ID: 2, Speed: 126 km/h
Frame: 34, Tracker ID: 1, Speed: 82 km/h
Frame: 34, Tracker ID: 4, Speed: 133 km/h
Frame: 34, Tracker ID: 3, Speed: 129 km/h
Frame: 34, Tracker ID: 2, Speed: 126 km/h
Frame: 35, Tracker ID: 1, Speed: 82 km/h
Frame: 35, Tracker ID: 3, Speed: 126 km/h
Frame: 35, Tracker ID: 4, Speed: 136 km/h
Frame: 35, Tracker ID: 2, Speed: 126 km/h
Frame: 36, Tracker ID: 1, Speed: 82 km/h
Frame: 36, Tracker ID: 4, Speed: 136 km/h
Frame: 36, Tracker ID: 3, Speed: 126 km/h
Frame: 36, Tracker ID: 2, Speed: 122 km/h
Frame: 37, Tracker ID: 1, Speed: 82 km/h
Frame: 37, Tracker ID: 3, Speed: 129 km/h
Frame: 37, Tracker ID: 4, Speed: 136 km/h
Frame: 37, Tracker ID: 2, Speed: 126 km/h
